City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
685,Susanville,US,89.01,40.42,-120.65,
686,Sept-Iles,CA,63.0,50.2,-66.38,
692,Noshiro,JP,70.0,40.2,140.02,
694,Kodiak,US,69.8,57.79,-152.41,
695,Reconquista,AR,60.51,-29.15,-59.65,
696,Ponta Do Sol,PT,75.2,32.67,-17.1,
697,Luderitz,,66.42,-26.65,15.16,
698,Ribeira Grande,PT,73.4,38.52,-28.7,
699,Kuna,US,84.99,43.49,-116.42,
702,Misratah,LY,80.1,32.38,15.09,
704,Gouyave,GD,87.8,12.16,-61.73,
706,Shieli,KZ,72.12,44.17,66.75,
707,Kahului,US,84.2,20.89,-156.47,
711,Ariquemes,BR,85.69,-9.91,-63.04,
713,Xam Nua,LA,65.66,20.42,104.04,
716,Boda,CF,69.51,4.32,17.47,
717,Praia Da Vitoria,PT,75.2,38.73,-27.07,
718,Hithadhoo,MV,82.72,-0.6,73.08,
722,Torbay,CA,70.0,47.67,-52.73,
724,Georgetown,MY,80.6,5.41,100.34,
727,Lethem,GY,81.41,3.38,-59.8,
728,Hanzhong,CN,69.33,33.07,107.03,
729,Umm Lajj,SA,83.46,25.02,37.27,
731,Bethel,US,89.01,41.37,-73.41,
734,Kendari,ID,70.3,-3.94,122.5,
737,Hede,CN,73.27,33.77,120.25,
739,Vila Franca Do Campo,PT,73.4,37.72,-25.43,
740,Carnarvon,AU,64.4,-24.87,113.63,
741,Majene,ID,75.99,-3.54,118.97,
742,Santiago,CL,71.6,-33.46,-70.65,
744,Centralia,US,71.6,46.72,-122.95,
745,San Pedro,PH,80.6,14.35,121.02,
748,Nishihara,JP,78.8,26.18,127.76,
749,Banda Aceh,ID,78.57,5.56,95.32,
750,Bengkulu,ID,75.38,-3.8,102.27,
751,Hasaki,JP,77.0,35.73,140.83,
753,Pangai,TO,77.99,-19.8,-174.35,
756,Sultanpur,IN,79.56,26.27,82.07,
757,Malakal,SS,74.46,9.53,31.66,
758,Umm Kaddadah,SD,86.59,13.6,26.69,
759,Portland,US,77.0,45.52,-122.68,
760,San Andres,CO,84.2,12.58,-81.7,
761,Sur,OM,81.5,22.57,59.53,
764,Batabano,CU,89.6,22.72,-82.29,
765,Rio Tercero,AR,64.0,-32.17,-64.11,
766,Bridlington,GB,60.8,54.08,-0.19,
767,Hualmay,PE,64.96,-11.1,-77.61,
768,Margate,GB,66.0,51.38,1.39,
769,Envira,BR,71.82,-7.3,-70.22,
772,Belmonte,BR,71.6,-15.86,-38.88,
773,Avera,US,80.6,33.19,-82.53,
774,Vaini,TO,77.0,-21.2,-175.2,
775,Wanxian,CN,76.82,30.8,108.39,
777,Bereda,ES,62.01,43.27,-7.54,
778,Port-Cartier,CA,62.01,50.03,-66.87,
779,Inuvik,CA,60.8,68.35,-133.72,
780,Saint-Augustin,CA,64.8,51.23,-58.65,
781,Ormara,PK,83.66,25.21,64.64,
782,Victoria,HK,82.0,22.29,114.16,
783,Lufilufi,WS,86.0,-13.87,-171.6,
785,Port Blair,IN,82.15,11.67,92.75,
786,Touros,BR,78.8,-5.2,-35.46,
787,Corby,GB,61.0,52.5,-0.69,
788,Dayong,CN,78.8,25.02,118.29,
789,Naze,JP,84.2,28.37,129.48,
790,Gat,IL,80.01,31.61,34.76,
791,Ambanja,MG,71.35,-13.68,48.45,
792,Pochutla,MX,88.0,15.74,-96.47,
793,Nikolskoye,RU,64.4,59.7,30.79,
794,Mahajanga,MG,71.6,-15.72,46.32,
795,Lasa,IT,60.01,46.62,10.7,
797,Maumere,ID,75.61,-8.62,122.21,
798,Teahupoo,PF,80.6,-17.83,-149.27,
799,Bristol,US,78.01,41.83,-71.17,
800,Santiago Del Estero,AR,69.46,-27.8,-64.26,
801,Lata,PT,66.0,40.16,-8.33,
803,Maningrida,AU,62.13,-12.07,134.27,
804,Ray,IN,77.23,23.68,85.05,
805,Lazaro Cardenas,MX,85.06,17.96,-102.2,
807,Komnina,GR,79.0,40.6,21.78,
811,Jinji,CN,77.4,23.23,110.83,
812,Ongandjera,,66.6,-17.88,15.07,
813,Trelew,AR,66.61,-43.25,-65.31,
814,Limoges,FR,63.0,45.75,1.33,
815,Santa Cruz,BO,68.0,-17.8,-63.17,
819,Weymouth,US,78.8,42.22,-70.94,
